ItemID,ItemName,Category,StockQuantity,ReorderLevel,Supplier,OrderQuantity,OrderDate,DeliveryDate,Status
ITEM0035,Ever Assembly,Body Panels,293,79,Continental,76,2024-10-10,2025-04-04,Ordered
ITEM0036,Seven Assembly,Engine Parts,372,130,Bosch,78,2024-12-11,2025-03-31,Ordered
ITEM0037,Challenge Assembly,Engine Parts,450,92,Bosch,151,2024-10-28,2025-03-22,Shipped
ITEM0038,Issue Assembly,Electricals,352,112,Denso,158,2024-10-11,2025-04-06,Shipped
ITEM0039,Technology Assembly,Body Panels,305,110,Denso,141,2024-12-12,2025-03-15,Delayed
ITEM0040,History Assembly,Chassis Components,58,62,Valeo,110,2025-01-21,2025-03-11,Delayed
ITEM0041,Little Assembly,Interior Trim,249,143,Bosch,192,2024-10-10,2025-03-24,Ordered
ITEM0042,Support Assembly,Engine Parts,216,143,Magneti Marelli,47,2024-10-10,2025-03-25,Shipped
ITEM0043,Any Assembly,Chassis Components,107,118,Valeo,55,2025-01-26,2025-03-27,Delayed
ITEM0044,Reduce Assembly,Chassis Components,152,109,Denso,39,2025-02-21,2025-03-26,Delayed
ITEM0045,Style Assembly,Body Panels,60,56,Continental,23,2025-02-25,2025-03-17,Ordered
ITEM0046,Race Assembly,Chassis Components,95,102,Valeo,143,2025-01-01,2025-03-26,Shipped
ITEM0047,Nearly Assembly,Interior Trim,472,57,Denso,117,2025-02-28,2025-03-14,Ordered
ITEM0048,Rich Assembly,Interior Trim,145,150,Valeo,93,2025-01-05,2025-03-09,Delayed
ITEM0049,Move Assembly,Body Panels,348,141,Valeo,59,2024-12-31,2025-03-20,Shipped
ITEM0050,Weight Assembly,Electricals,121,57,Continental,158,2024-11-17,2025-03-14,Ordered
ITEM0051,Condition Assembly,Electricals,39,56,Continental,142,2024-12-01,2025-04-02,Shipped
ITEM0052,Card Assembly,Engine Parts,270,60,Denso,37,2024-12-22,2025-04-08,Ordered
ITEM0053,Area Assembly,Chassis Components,216,65,Continental,83,2025-02-24,2025-03-19,Ordered
ITEM0054,Development Assembly,Body Panels,51,103,Continental,164,2024-11-06,2025-03-29,Delivered
ITEM0055,Hot Assembly,Electricals,114,135,Magneti Marelli,81,2024-10-18,2025-04-07,Delivered
ITEM0056,Various Assembly,Interior Trim,77,135,Magneti Marelli,137,2025-03-06,2025-03-11,Delivered
ITEM0057,Show Assembly,Engine Parts,14,108,Continental,164,2024-10-22,2025-03-24,Ordered
ITEM0058,Knowledge Assembly,Engine Parts,285,77,Continental,87,2024-10-20,2025-03-10,Shipped
ITEM0059,Deal Assembly,Electricals,461,58,Denso,114,2024-10-18,2025-03-14,Delivered
ITEM0060,During Assembly,Chassis Components,234,119,Magneti Marelli,176,2024-10-10,2025-03-13,Ordered
ITEM0061,Attention Assembly,Body Panels,163,134,Bosch,54,2024-12-31,2025-03-16,Delivered
ITEM0062,Take Assembly,Engine Parts,465,63,Continental,59,2025-02-07,2025-04-01,Delivered
ITEM0063,Certainly Assembly,Electricals,319,76,Magneti Marelli,72,2025-02-12,2025-03-17,Delivered
ITEM0064,Change Assembly,Body Panels,260,82,Bosch,43,2024-10-25,2025-03-15,Delayed
ITEM0065,Every Assembly,Electricals,32,50,Magneti Marelli,53,2025-01-12,2025-03-12,Delivered
ITEM0066,As Assembly,Chassis Components,389,106,Continental,200,2024-11-12,2025-04-04,Delayed
ITEM0067,Summer Assembly,Body Panels,14,64,Bosch,196,2024-10-31,2025-04-02,Shipped
ITEM0068,College Assembly,Body Panels,28,97,Continental,161,2025-02-28,2025-04-02,Shipped
ITEM0069,Rest Assembly,Interior Trim,75,55,Magneti Marelli,113,2024-12-20,2025-04-06,Ordered
ITEM0070,Statement Assembly,Electricals,117,137,Denso,190,2025-01-21,2025-04-03,Ordered
ITEM0071,Win Assembly,Electricals,409,121,Valeo,178,2024-10-14,2025-04-07,Shipped
ITEM0072,Wonder Assembly,Chassis Components,452,70,Denso,125,2024-10-20,2025-03-10,Ordered
ITEM0073,Identify Assembly,Chassis Components,387,92,Valeo,191,2025-01-15,2025-04-01,Shipped
ITEM0074,Plan Assembly,Electricals,91,150,Bosch,117,2025-01-23,2025-03-24,Ordered
ITEM0075,Sport Assembly,Interior Trim,123,75,Valeo,109,2024-12-24,2025-03-12,Delivered
ITEM0076,Western Assembly,Chassis Components,124,53,Denso,122,2025-03-07,2025-03-30,Delivered
ITEM0077,Fight Assembly,Electricals,452,58,Magneti Marelli,109,2024-12-04,2025-03-15,Delayed
ITEM0078,Rule Assembly,Body Panels,179,53,Bosch,86,2024-12-11,2025-03-10,Shipped
ITEM0079,Past Assembly,Body Panels,145,54,Bosch,172,2024-11-16,2025-03-23,Delayed
ITEM0080,Believe Assembly,Electricals,383,150,Magneti Marelli,131,2024-11-07,2025-03-28,Ordered
ITEM0081,Kid Assembly,Interior Trim,470,123,Denso,85,2024-12-23,2025-03-13,Ordered
ITEM0082,Treatment Assembly,Interior Trim,10,116,Continental,195,2025-01-20,2025-03-29,Shipped
ITEM0083,Maybe Assembly,Electricals,230,58,Magneti Marelli,179,2024-10-27,2025-03-28,Delivered
ITEM0084,Stop Assembly,Engine Parts,378,88,Continental,99,2025-02-11,2025-03-20,Delayed
ITEM0085,Stay Assembly,Electricals,216,139,Magneti Marelli,161,2025-02-23,2025-03-28,Shipped
ITEM0086,Become Assembly,Chassis Components,225,135,Valeo,193,2025-01-06,2025-03-14,Shipped
ITEM0087,Compare Assembly,Body Panels,301,88,Valeo,160,2025-02-16,2025-03-25,Ordered
ITEM0088,Real Assembly,Electricals,156,76,Valeo,168,2024-12-29,2025-03-22,Delivered
ITEM0089,Movement Assembly,Interior Trim,236,106,Denso,150,2025-02-01,2025-03-15,Delayed
ITEM0090,Will Assembly,Chassis Components,347,60,Magneti Marelli,151,2024-11-26,2025-04-07,Delivered
ITEM0091,Half Assembly,Engine Parts,429,146,Denso,192,2024-10-11,2025-03-15,Delivered
ITEM0092,Various Assembly,Chassis Components,422,75,Denso,26,2025-02-03,2025-03-20,Ordered
ITEM0093,Must Assembly,Chassis Components,253,128,Bosch,136,2024-10-14,2025-04-06,Delayed
ITEM0094,Impact Assembly,Body Panels,109,141,Valeo,146,2024-12-01,2025-03-19,Delayed
ITEM0095,Single Assembly,Chassis Components,85,133,Bosch,47,2025-01-24,2025-03-14,Delayed
ITEM0096,Myself Assembly,Chassis Components,100,139,Continental,138,2025-01-28,2025-03-24,Ordered
ITEM0097,Name Assembly,Body Panels,137,65,Valeo,54,2024-12-31,2025-04-02,Delayed
ITEM0098,Difficult Assembly,Body Panels,296,126,Magneti Marelli,133,2025-01-13,2025-03-20,Delayed
ITEM0099,Name Assembly,Body Panels,238,70,Valeo,135,2024-12-13,2025-03-28,Delivered
ITEM0100,Popular Assembly,Chassis Components,440,131,Magneti Marelli,153,2024-12-14,2025-04-03,Delayed
ITEM0101,Future Assembly,Chassis Components,150,106,Bosch,93,2025-01-06,2025-03-18,Shipped
ITEM0102,Anyone Assembly,Electricals,181,90,Continental,40,2024-11-09,2025-03-09,Shipped
ITEM0103,Animal Assembly,Chassis Components,128,99,Denso,200,2025-02-22,2025-03-16,Shipped
ITEM0104,Doctor Assembly,Engine Parts,222,102,Magneti Marelli,158,2025-01-21,2025-04-01,Delayed
ITEM0105,Whatever Assembly,Interior Trim,41,76,Valeo,119,2024-12-31,2025-03-19,Ordered
ITEM0106,Expect Assembly,Body Panels,204,111,Bosch,110,2025-01-26,2025-04-07,Delivered
ITEM0107,True Assembly,Interior Trim,446,103,Continental,159,2024-11-24,2025-03-10,Shipped
ITEM0108,Air Assembly,Interior Trim,122,84,Valeo,144,2024-12-03,2025-03-28,Ordered
ITEM0109,Pattern Assembly,Interior Trim,182,135,Valeo,62,2025-01-25,2025-03-23,Delayed
ITEM0110,Deal Assembly,Chassis Components,328,118,Bosch,120,2024-12-05,2025-04-07,Ordered
ITEM0111,History Assembly,Engine Parts,339,104,Denso,138,2025-02-11,2025-03-20,Shipped
ITEM0112,Your Assembly,Engine Parts,143,98,Magneti Marelli,74,2025-01-20,2025-04-03,Delayed
ITEM0113,Around Assembly,Electricals,182,147,Valeo,91,2025-01-22,2025-03-14,Delayed
ITEM0114,Mention Assembly,Electricals,437,60,Valeo,24,2024-12-28,2025-03-14,Ordered
ITEM0115,Manage Assembly,Electricals,124,133,Bosch,186,2025-01-16,2025-04-04,Ordered
ITEM0116,Country Assembly,Engine Parts,496,81,Denso,25,2024-11-03,2025-03-09,Shipped
ITEM0117,One Assembly,Chassis Components,74,110,Bosch,164,2025-01-11,2025-03-20,Shipped
ITEM0118,Sort Assembly,Interior Trim,368,82,Magneti Marelli,62,2024-10-18,2025-03-10,Ordered
ITEM0119,Imagine Assembly,Chassis Components,169,63,Continental,26,2025-01-25,2025-03-10,Delivered
ITEM0120,Stage Assembly,Body Panels,356,98,Valeo,70,2025-01-03,2025-04-05,Ordered
ITEM0121,Treat Assembly,Body Panels,363,130,Denso,46,2024-10-28,2025-03-29,Delivered
ITEM0122,Degree Assembly,Body Panels,422,65,Continental,30,2025-01-27,2025-03-18,Delivered
ITEM0123,Every Assembly,Body Panels,229,134,Magneti Marelli,37,2025-02-03,2025-04-02,Delivered
ITEM0124,Rich Assembly,Engine Parts,444,103,Valeo,47,2024-12-11,2025-03-28,Delayed
ITEM0125,Help Assembly,Electricals,335,108,Denso,131,2024-12-15,2025-04-07,Shipped
ITEM0126,Politics Assembly,Body Panels,343,84,Continental,157,2025-02-11,2025-04-02,Delayed
ITEM0127,Hospital Assembly,Interior Trim,233,143,Continental,88,2025-02-04,2025-04-03,Delivered
ITEM0128,Very Assembly,Chassis Components,435,61,Magneti Marelli,135,2024-11-15,2025-03-30,Shipped
ITEM0129,Set Assembly,Interior Trim,301,128,Valeo,106,2025-03-02,2025-03-21,Ordered
ITEM0130,Relationship Assembly,Interior Trim,445,91,Denso,144,2024-10-09,2025-03-25,Shipped
ITEM0131,Including Assembly,Electricals,418,83,Magneti Marelli,91,2025-02-17,2025-03-16,Delivered
ITEM0132,Challenge Assembly,Body Panels,15,116,Denso,41,2024-11-01,2025-03-17,Shipped
ITEM0133,Difference Assembly,Interior Trim,260,121,Denso,196,2025-01-17,2025-04-06,Delayed
ITEM0134,Stock Assembly,Interior Trim,239,52,Bosch,95,2024-10-17,2025-04-04,Shipped
ITEM0135,Soldier Assembly,Interior Trim,364,81,Magneti Marelli,189,2025-01-30,2025-03-31,Delivered
ITEM0136,Weight Assembly,Interior Trim,293,117,Magneti Marelli,128,2024-10-10,2025-04-06,Delivered
ITEM0137,Consider Assembly,Electricals,369,108,Magneti Marelli,98,2025-01-04,2025-03-16,Delivered
ITEM0138,Agency Assembly,Chassis Components,71,142,Denso,100,2024-10-14,2025-03-16,Ordered
ITEM0139,Road Assembly,Body Panels,496,147,Denso,69,2024-11-04,2025-03-22,Shipped
ITEM0140,Spring Assembly,Interior Trim,151,142,Continental,154,2024-12-27,2025-03-28,Delivered
ITEM0141,Old Assembly,Engine Parts,436,74,Magneti Marelli,78,2024-11-30,2025-04-06,Delivered
ITEM0142,To Assembly,Chassis Components,164,51,Continental,52,2024-10-28,2025-03-21,Delivered
ITEM0143,Increase Assembly,Engine Parts,37,120,Magneti Marelli,198,2024-12-30,2025-03-20,Shipped
ITEM0144,Generation Assembly,Interior Trim,62,51,Continental,92,2025-01-28,2025-04-04,Delayed
ITEM0145,Cost Assembly,Interior Trim,235,93,Denso,33,2024-11-17,2025-04-06,Delivered
ITEM0146,Two Assembly,Interior Trim,68,58,Valeo,145,2025-02-19,2025-03-15,Ordered
ITEM0147,Yard Assembly,Body Panels,332,137,Bosch,58,2024-10-23,2025-03-27,Shipped
ITEM0148,Truth Assembly,Body Panels,495,88,Bosch,83,2025-02-11,2025-03-14,Ordered
ITEM0149,Player Assembly,Body Panels,401,103,Continental,172,2024-10-19,2025-03-23,Shipped
ITEM0150,Back Assembly,Body Panels,204,107,Valeo,96,2024-12-17,2025-03-11,Delayed
ITEM0151,Subject Assembly,Electricals,301,129,Bosch,176,2024-12-27,2025-04-01,Ordered
ITEM0152,Fall Assembly,Chassis Components,330,77,Magneti Marelli,189,2025-02-10,2025-04-04,Ordered
ITEM0153,Certain Assembly,Chassis Components,132,72,Continental,39,2025-01-28,2025-03-31,Shipped
ITEM0154,Particular Assembly,Engine Parts,219,107,Continental,140,2024-12-26,2025-03-21,Delivered
ITEM0155,Morning Assembly,Engine Parts,128,86,Magneti Marelli,199,2024-12-10,2025-03-09,Delayed
ITEM0156,Suffer Assembly,Engine Parts,361,79,Magneti Marelli,180,2025-02-25,2025-04-06,Shipped
ITEM0157,Off Assembly,Interior Trim,68,119,Denso,185,2024-10-13,2025-03-24,Shipped
ITEM0158,Push Assembly,Electricals,433,68,Bosch,35,2025-02-08,2025-03-17,Shipped
ITEM0159,In Assembly,Electricals,314,145,Continental,93,2024-10-22,2025-04-05,Delayed
ITEM0160,Focus Assembly,Engine Parts,249,138,Magneti Marelli,199,2024-12-08,2025-03-14,Delayed
ITEM0161,Above Assembly,Electricals,266,119,Valeo,132,2024-10-25,2025-04-03,Ordered
ITEM0162,Produce Assembly,Body Panels,30,105,Magneti Marelli,174,2024-11-04,2025-03-10,Delivered
ITEM0163,Arm Assembly,Engine Parts,56,79,Continental,170,2025-01-18,2025-03-19,Ordered
ITEM0164,Wish Assembly,Electricals,305,55,Denso,140,2024-11-01,2025-03-28,Delayed
ITEM0165,Poor Assembly,Electricals,102,124,Valeo,182,2025-01-07,2025-03-26,Delayed
ITEM0166,However Assembly,Engine Parts,250,94,Valeo,105,2024-12-21,2025-04-08,Delivered
ITEM0167,Inside Assembly,Engine Parts,449,70,Magneti Marelli,125,2025-01-16,2025-04-06,Delayed
ITEM0168,Cup Assembly,Electricals,349,101,Continental,29,2025-01-28,2025-03-22,Delayed
ITEM0169,Maintain Assembly,Engine Parts,171,82,Magneti Marelli,49,2025-01-05,2025-03-19,Delayed
ITEM0170,Meeting Assembly,Body Panels,432,50,Continental,138,2024-10-13,2025-03-19,Delayed
ITEM0171,Institution Assembly,Engine Parts,106,116,Magneti Marelli,179,2025-02-04,2025-03-30,Delayed
ITEM0172,Moment Assembly,Interior Trim,399,56,Denso,88,2024-10-28,2025-03-27,Shipped
ITEM0173,Test Assembly,Electricals,234,139,Valeo,51,2024-10-12,2025-03-28,Ordered
ITEM0174,Military Assembly,Body Panels,419,80,Denso,99,2024-12-25,2025-03-27,Ordered
ITEM0175,Since Assembly,Body Panels,218,61,Denso,49,2024-11-22,2025-03-11,Delayed
ITEM0176,Better Assembly,Engine Parts,341,69,Valeo,94,2024-11-03,2025-03-12,Delivered
ITEM0177,Democrat Assembly,Interior Trim,437,111,Valeo,82,2024-12-25,2025-03-26,Delayed
ITEM0178,Knowledge Assembly,Body Panels,84,99,Denso,173,2024-10-26,2025-03-12,Shipped
ITEM0179,Sit Assembly,Engine Parts,151,148,Valeo,107,2025-03-04,2025-03-18,Delivered
ITEM0180,Agreement Assembly,Engine Parts,154,142,Magneti Marelli,170,2024-10-26,2025-04-01,Delayed
ITEM0181,So Assembly,Chassis Components,238,118,Valeo,108,2024-12-10,2025-03-20,Delivered
ITEM0182,Onto Assembly,Body Panels,400,119,Valeo,136,2024-11-25,2025-04-08,Delivered
ITEM0183,Away Assembly,Chassis Components,367,80,Continental,118,2024-12-30,2025-03-22,Shipped
ITEM0184,Knowledge Assembly,Interior Trim,32,90,Valeo,200,2024-11-26,2025-03-15,Delayed
ITEM0185,Success Assembly,Interior Trim,349,133,Denso,146,2025-01-26,2025-03-24,Ordered
ITEM0186,Well Assembly,Chassis Components,267,125,Magneti Marelli,45,2024-11-05,2025-03-27,Delayed
ITEM0187,Dark Assembly,Engine Parts,279,108,Bosch,56,2025-01-09,2025-03-31,Delayed
ITEM0188,Project Assembly,Chassis Components,48,110,Magneti Marelli,106,2025-02-06,2025-03-20,Delayed
ITEM0189,Watch Assembly,Engine Parts,446,92,Continental,117,2024-10-12,2025-03-27,Delivered
ITEM0190,Him Assembly,Interior Trim,456,119,Bosch,178,2025-02-22,2025-03-23,Ordered
ITEM0191,Easy Assembly,Chassis Components,333,137,Magneti Marelli,78,2025-02-18,2025-04-02,Ordered
ITEM0192,Television Assembly,Interior Trim,60,147,Bosch,133,2024-10-23,2025-03-28,Shipped
ITEM0193,Dark Assembly,Electricals,472,53,Bosch,103,2025-03-06,2025-04-06,Ordered
ITEM0194,Stuff Assembly,Electricals,193,97,Valeo,57,2024-12-28,2025-03-12,Shipped
ITEM0195,Agent Assembly,Body Panels,220,122,Denso,63,2024-10-20,2025-03-12,Shipped
ITEM0196,Sign Assembly,Engine Parts,322,98,Continental,194,2025-02-17,2025-04-05,Shipped
ITEM0197,Whole Assembly,Interior Trim,477,124,Denso,79,2024-12-04,2025-03-20,Delayed
ITEM0198,Fire Assembly,Electricals,245,82,Bosch,139,2025-01-03,2025-03-14,Delivered
ITEM0199,Kid Assembly,Body Panels,90,59,Valeo,108,2024-12-09,2025-03-30,Delivered
ITEM0200,Democratic Assembly,Interior Trim,363,82,Valeo,97,2024-12-14,2025-03-26,Shipped
ITEM0201,Boy Assembly,Interior Trim,446,111,Bosch,80,2025-02-20,2025-04-07,Delayed
ITEM0202,There Assembly,Body Panels,193,123,Magneti Marelli,199,2025-01-12,2025-04-01,Delivered
ITEM0203,Create Assembly,Engine Parts,434,134,Valeo,90,2025-01-03,2025-03-09,Ordered
ITEM0204,Never Assembly,Body Panels,452,137,Bosch,175,2025-01-25,2025-03-25,Delayed
ITEM0205,Fill Assembly,Electricals,407,79,Continental,110,2025-03-04,2025-03-10,Shipped
ITEM0206,Three Assembly,Chassis Components,327,82,Denso,180,2025-01-02,2025-03-14,Ordered
ITEM0207,Hear Assembly,Engine Parts,168,150,Valeo,28,2024-12-11,2025-04-05,Delivered
ITEM0208,Art Assembly,Chassis Components,56,87,Magneti Marelli,126,2025-02-13,2025-03-09,Shipped
ITEM0209,Moment Assembly,Chassis Components,77,150,Continental,113,2025-02-10,2025-04-02,Delivered
ITEM0210,Message Assembly,Chassis Components,141,111,Magneti Marelli,106,2025-01-26,2025-03-19,Ordered
ITEM0211,Sport Assembly,Interior Trim,48,68,Denso,193,2025-02-10,2025-03-23,Delayed
ITEM0212,Operation Assembly,Body Panels,197,61,Valeo,23,2024-11-29,2025-03-16,Delivered
ITEM0213,Work Assembly,Body Panels,73,108,Magneti Marelli,192,2024-10-26,2025-04-01,Delivered
ITEM0214,Explain Assembly,Body Panels,205,131,Magneti Marelli,47,2025-02-05,2025-03-24,Shipped
ITEM0215,Meet Assembly,Interior Trim,22,129,Continental,103,2025-02-13,2025-03-21,Shipped
ITEM0216,Argue Assembly,Engine Parts,335,109,Magneti Marelli,186,2025-01-05,2025-03-09,Delayed
ITEM0217,Take Assembly,Engine Parts,81,55,Bosch,97,2025-01-30,2025-03-30,Delayed
ITEM0218,Close Assembly,Engine Parts,59,80,Continental,54,2025-02-23,2025-03-29,Delayed
ITEM0219,Front Assembly,Interior Trim,199,135,Continental,127,2025-01-18,2025-03-24,Shipped
ITEM0220,Morning Assembly,Interior Trim,345,62,Valeo,177,2024-12-04,2025-03-27,Delayed
ITEM0221,Stop Assembly,Electricals,26,138,Magneti Marelli,75,2024-11-17,2025-03-31,Delayed
ITEM0222,As Assembly,Interior Trim,496,80,Magneti Marelli,45,2024-12-07,2025-03-15,Delivered
ITEM0223,Nearly Assembly,Body Panels,471,132,Magneti Marelli,35,2024-12-09,2025-03-24,Delayed
ITEM0224,Team Assembly,Electricals,107,65,Valeo,43,2024-12-29,2025-03-13,Shipped
ITEM0225,Movement Assembly,Body Panels,20,56,Magneti Marelli,82,2024-11-12,2025-03-30,Shipped
ITEM0226,Accept Assembly,Body Panels,115,58,Continental,73,2025-01-18,2025-03-26,Shipped
ITEM0227,Cover Assembly,Chassis Components,178,149,Denso,172,2025-01-15,2025-03-25,Ordered
ITEM0228,Rock Assembly,Electricals,449,68,Denso,158,2025-02-08,2025-03-10,Delivered
ITEM0229,Quality Assembly,Chassis Components,66,134,Bosch,53,2024-11-16,2025-03-27,Ordered
ITEM0230,White Assembly,Electricals,414,150,Denso,170,2025-03-08,2025-03-27,Delivered
ITEM0231,Sport Assembly,Engine Parts,99,83,Bosch,52,2025-02-21,2025-03-28,Delayed
ITEM0232,Manage Assembly,Body Panels,68,145,Bosch,141,2024-12-15,2025-04-01,Delayed
ITEM0233,Situation Assembly,Electricals,272,125,Bosch,135,2025-02-03,2025-03-24,Shipped
ITEM0234,So Assembly,Body Panels,32,143,Continental,97,2024-10-30,2025-04-06,Delayed
ITEM0235,Painting Assembly,Engine Parts,41,111,Valeo,129,2025-02-25,2025-04-06,Ordered
ITEM0236,Western Assembly,Interior Trim,374,106,Bosch,40,2025-01-15,2025-03-28,Delivered
ITEM0237,Care Assembly,Body Panels,85,58,Denso,90,2025-01-09,2025-03-09,Delivered
ITEM0238,Visit Assembly,Interior Trim,315,117,Magneti Marelli,136,2025-02-24,2025-03-22,Delayed
ITEM0239,Including Assembly,Engine Parts,416,139,Bosch,187,2025-02-11,2025-03-15,Shipped
ITEM0240,Management Assembly,Interior Trim,241,79,Valeo,106,2024-12-30,2025-03-28,Delayed
ITEM0241,Summer Assembly,Interior Trim,222,143,Bosch,100,2024-12-12,2025-03-18,Delayed
ITEM0242,Tell Assembly,Electricals,350,82,Magneti Marelli,59,2025-01-14,2025-03-18,Delayed
ITEM0243,Across Assembly,Engine Parts,56,60,Bosch,130,2025-03-04,2025-04-03,Ordered
ITEM0244,Per Assembly,Electricals,425,66,Continental,35,2024-11-25,2025-03-28,Delivered
ITEM0245,Option Assembly,Engine Parts,220,95,Valeo,33,2025-01-13,2025-04-05,Delivered
ITEM0246,Throw Assembly,Body Panels,169,95,Bosch,167,2024-10-16,2025-03-28,Shipped
ITEM0247,Public Assembly,Chassis Components,346,111,Denso,47,2024-11-11,2025-04-02,Delivered
ITEM0248,Develop Assembly,Body Panels,198,64,Magneti Marelli,166,2024-12-20,2025-03-19,Shipped
ITEM0249,Site Assembly,Interior Trim,442,121,Continental,177,2024-11-03,2025-03-30,Ordered
ITEM0250,Coach Assembly,Body Panels,485,134,Magneti Marelli,27,2025-01-31,2025-03-10,Shipped
ITEM0251,Usually Assembly,Electricals,369,147,Magneti Marelli,106,2025-03-04,2025-04-07,Delivered
ITEM0252,Key Assembly,Engine Parts,102,68,Continental,188,2025-02-02,2025-03-15,Delayed
ITEM0253,Well Assembly,Engine Parts,82,144,Bosch,43,2024-11-25,2025-03-22,Shipped
ITEM0254,Wrong Assembly,Interior Trim,224,108,Magneti Marelli,60,2025-02-05,2025-03-24,Delivered
ITEM0255,Choose Assembly,Electricals,379,91,Continental,172,2025-01-29,2025-03-11,Ordered
ITEM0256,Mrs Assembly,Engine Parts,89,70,Continental,32,2024-10-15,2025-03-27,Ordered
ITEM0257,After Assembly,Electricals,236,134,Valeo,144,2024-12-30,2025-03-30,Delayed
ITEM0258,Ready Assembly,Interior Trim,149,77,Continental,49,2025-02-15,2025-04-08,Delivered
ITEM0259,Practice Assembly,Interior Trim,66,86,Continental,144,2025-01-04,2025-04-08,Delivered
ITEM0260,Feeling Assembly,Engine Parts,122,100,Continental,34,2024-12-27,2025-04-07,Ordered
ITEM0261,Cause Assembly,Chassis Components,164,77,Denso,85,2024-11-30,2025-04-01,Delivered
ITEM0262,Create Assembly,Electricals,71,50,Valeo,130,2024-11-27,2025-03-22,Shipped
ITEM0263,Group Assembly,Chassis Components,204,118,Denso,148,2024-12-12,2025-03-13,Delivered
ITEM0264,Huge Assembly,Engine Parts,213,144,Bosch,131,2025-02-28,2025-03-12,Ordered
ITEM0265,Detail Assembly,Interior Trim,481,59,Magneti Marelli,167,2024-12-31,2025-03-20,Delayed
ITEM0266,Less Assembly,Body Panels,217,140,Valeo,94,2025-01-13,2025-03-27,Ordered
ITEM0267,Only Assembly,Interior Trim,20,91,Denso,178,2024-12-12,2025-04-08,Delayed
ITEM0268,Player Assembly,Electricals,55,105,Bosch,82,2024-11-12,2025-03-13,Delayed
ITEM0269,Three Assembly,Body Panels,215,117,Bosch,121,2025-01-30,2025-03-31,Delivered
